index,year,level,sport,winner,winner_metro,runner_up,runner_up_metro,final_four3,final_four3_metro,final_four4,final_four4_metro
879,2008,college,Volleyball (W),Penn State Nittany Lions,"State College, PA",Stanford Cardinal,"San Francisco Bay Area, CA",Nebraska Cornhuskers,"Lincoln, NE",Texas Longhorns,"Austin, TX"
880,2009,college,Football (M),Florida Gators,"Gainesville, FL",,,,,,
881,2009,college,Football (M),Richmond Spiders,"Richmond, VA",Montana Grizzlies,"Missoula, MT",,,,
882,2009,pro,NFL,Pittsburgh Steelers,"Pittsburgh, PA",Arizona Cardinals,"Metro Phoenix, AZ",Baltimore Colts,"Baltimore, MD",Philadelphia Eagles,"Greater Philadelphia, PA"
883,2009,college,Basketball (M),North Carolina Tar Heels,"Greater Raleigh, NC",Michigan State Spartans,"East Lansing, MI",Villanova Wildcats,"Greater Philadelphia, PA",Connecticut Huskies,"Hartford, CT"
884,2009,college,Basketball (W),Connecticut Huskies,"Hartford, CT",Louisville Cardinals,"Louisville, KY",Stanford Cardinal,"San Francisco Bay Area, CA",Oklahoma Sooners,"Oklahoma City, OK"
885,2009,pro,NBA,Los Angeles Lakers,"Greater Los Angeles, CA",Orlando Magic,"Greater Orlando, FL",Cleveland Cavaliers,"Cleveland, OH",Denver Nuggets,"Denver, CO"
886,2009,college,Baseball (M),LSU Fighting Tigers,"Baton Rouge, LA",Texas Longhorns,"Austin, TX",Arkansas Razorbacks,"Northwest Arkansas, AR",Arizona State Sun Devils,"Metro Phoenix, AZ"
887,2009,pro,NHL,Pittsburgh Penguins,"Pittsburgh, PA",Detroit Red Wings,"Metro Detroit, MI",Chicago Blackhawks,"Chicago, IL",Carolina Hurricanes,"Greater Raleigh, NC"
888,2009,pro,MLB,New York Yankees,New York Metro Area,Philadelphia Phillies,"Greater Philadelphia, PA",Los Angeles Angels of Anaheim,"Greater Los Angeles, CA",Los Angeles Dodgers,"Greater Los Angeles, CA"
889,2009,pro,MLS,Real Salt Lake,"Salt Lake City, UT",Los Angeles Galaxy,"Greater Los Angeles, CA",Chicago Fire,"Chicago, IL",Houston Dynamo,"Houston, TX"
890,2009,pro,CFL,Montreal Alouettes,"Montreal, QC",Saskatchewan Roughriders,"Regina, SK",BC Lions,"Vancouver, BC",Calgary Stampeders,"Calgary, AB"
891,2009,college,Volleyball (W),Penn State Nittany Lions,"State College, PA",Texas Longhorns,"Austin, TX",Hawaii Warriors,"Honolulu, HI",Minnesota Golden Gophers,"Twin Cities, MN"
892,2009,college,Soccer (W),North Carolina Tar Heels,"Greater Raleigh, NC",Stanford Cardinal,"San Francisco Bay Area, CA",Notre Dame Fighting Irish,"Notre Dame, IN",UCLA Bruins,"Greater Los Angeles, CA"
893,2010,college,Football (M),Villanova Wildcats,"Greater Philadelphia, PA",Montana Grizzlies,"Missoula, MT",,,,
894,2010,college,Football (M),Alabama Crimson Tide,"Tuscaloosa, AL",,,,,,
895,2010,pro,NFL,New Orleans Saints,"New Orleans, LA",Indianapolis Colts,"Indianapolis Metro Area, IN",New York Jets,New York Metro Area,Minnesota Vikings,"Twin Cities, MN"
896,2010,college,Basketball (M),Duke Blue Devils,"Greater Raleigh, NC",Butler Bulldogs,"Indianapolis Metro Area, IN",West Virginia Mountaineers,"Morgantown, WV",Michigan State Spartans,"East Lansing, MI"
897,2010,pro,NBA,Los Angeles Lakers,"Greater Los Angeles, CA",Boston Celtics,"Greater Boston, MA",Orlando Magic,"Greater Orlando, FL",Phoenix Suns,"Metro Phoenix, AZ"
898,2010,college,Basketball (W),Connecticut Huskies,"Hartford, CT",Stanford Cardinal,"San Francisco Bay Area, CA",Baylor Bears,"Waco, TX",Oklahoma Sooners,"Oklahoma City, OK"
899,2010,pro,NHL,Chicago Blackhawks,"Chicago, IL",Philadelphia Flyers,"Greater Philadelphia, PA",San Jose Sharks,"San Jose-Santa Clara, CA",Montreal Canadiens,"Montreal, QC"
900,2010,college,Baseball (M),South Carolina Gamecocks,"Columbia, SC",UCLA Bruins,"Greater Los Angeles, CA",Texas Christian Horned Frogs,"Dallas-Fort Worth, TX",Clemson Tigers,"Greenville, SC"
901,2010,pro,MLB,San Francisco Giants,"San Francisco Bay Area, CA",Texas Rangers,"Dallas-Fort Worth, TX",New York Yankees,New York Metro Area,Philadelphia Phillies,"Greater Philadelphia, PA"
902,2010,pro,MLS,Colorado Rapids,"Denver, CO",FC Dallas,"Dallas-Fort Worth, TX",Los Angeles Galaxy,"Greater Los Angeles, CA",San Jose Earthquakes,"San Jose-Santa Clara, CA"
903,2010,pro,CFL,Montreal Alouettes,"Montreal, QC",Saskatchewan Roughriders,"Regina, SK",Toronto Argonauts,"Toronto, ON",Calgary Stampeders,"Calgary, AB"
904,2010,college,Soccer (W),Notre Dame Fighting Irish,"Notre Dame, IN",Stanford Cardinal,"San Francisco Bay Area, CA",Boston College Eagles,"Greater Boston, MA",Ohio State Buckeyes,"Columbus, OH"
905,2010,college,Volleyball (W),Penn State Nittany Lions,"State College, PA",California Golden Bears,"San Francisco Bay Area, CA",Texas Longhorns,"Austin, TX",South Carolina Gamecocks,"Columbia, SC"
906,2011,college,Football (M),Eastern Washington Eagles,"Spokane, WA",Delaware Fightin' Blue Hens,"Newark, DE",,,,
907,2011,college,Football (M),Auburn Tigers,"Auburn, AL",,,,,,
908,2011,pro,NFL,Green Bay Packers,"Green Bay, WI",Pittsburgh Steelers,"Pittsburgh, PA",New York Jets,New York Metro Area,Chicago Bears,"Chicago, IL"
909,2011,college,Basketball (M),Connecticut Huskies,"Hartford, CT",Butler Bulldogs,"Indianapolis Metro Area, IN",Kentucky Wildcats,"Lexington-Fayette, KY",VCU Rams,"Richmond, VA"
910,2011,college,Basketball (W),Texas A&M Aggies,"College Station, TX",Notre Dame Fighting Irish,"Notre Dame, IN",Connecticut Huskies,"Hartford, CT",Stanford Cardinal,"San Francisco Bay Area, CA"
911,2011,pro,NBA,Dallas Mavericks,"Dallas-Fort Worth, TX",Miami Heat,"Greater Miami Area, FL",Chicago Bulls,"Chicago, IL",Oklahoma City Thunder,"Oklahoma City, OK"
912,2011,pro,NHL,Boston Bruins,"Greater Boston, MA",Vancouver Canucks,"Vancouver, BC",San Jose Sharks,"San Jose-Santa Clara, CA",Tampa Bay Lightning,"Tampa Bay Area, FL"
913,2011,college,Baseball (M),South Carolina Gamecocks,"Columbia, SC",Florida Gators,"Gainesville, FL",Virginia Cavaliers,"Charlottesville, VA",Vanderbilt Commodores,"Nashville, TN"
914,2011,pro,MLB,St. Louis Cardinals,"St. Louis, MO",Texas Rangers,"Dallas-Fort Worth, TX",Detroit Tigers,"Metro Detroit, MI",Milwaukee Brewers,"Milwaukee, WI"
915,2011,pro,MLS,Los Angeles Galaxy,"Greater Los Angeles, CA",Houston Dynamo,"Houston, TX",Sporting Kansas City,"Kansas City, MO",Real Salt Lake,"Salt Lake City, UT"
916,2011,pro,CFL,BC Lions,"Vancouver, BC",Winnipeg Blue Bombers,"Winnipeg, MB",Edmonton Eskimos,"Edmonton, AB",Hamilton Tiger-Cats,"Hamilton, ON"
917,2011,college,Soccer (W),Stanford Cardinal,"San Francisco Bay Area, CA",Duke Blue Devils,"Greater Raleigh, NC",Florida State Seminoles,"Tallahassee, FL",Wake Forest Demon Deacons,"Winston-Salem, NC"
918,2011,college,Volleyball (W),UCLA Bruins,"Greater Los Angeles, CA",Illinois Fighting Illini,"Champaign-Urbana, IL",Florida State Seminoles,"Tallahassee, FL",South Carolina Gamecocks,"Columbia, SC"
919,2012,college,Football (M),North Dakota State Bison,"Fargo, ND",Sam Houston State Bearkats,"Huntsville, TX",,,,
920,2012,college,Football (M),Alabama Crimson Tide,"Tuscaloosa, AL",,,,,,
921,2012,pro,NFL,New York Giants,New York Metro Area,New England Patriots,"Greater Boston, MA",Baltimore Colts,"Baltimore, MD",San Francisco 49ers,"San Francisco Bay Area, CA"
922,2012,college,Basketball (M),Kentucky Wildcats,"Lexington-Fayette, KY",Kansas Jayhawks,"Lawrence, KS",Ohio State Buckeyes,"Columbus, OH",,
923,2012,pro,NBA,Miami Heat,"Greater Miami Area, FL",Oklahoma City Thunder,"Oklahoma City, OK",Boston Celtics,"Greater Boston, MA",San Antonio Spurs,"San Antonio, TX"
924,2012,college,Basketball (W),Baylor Bears,"Waco, TX",Notre Dame Fighting Irish,"Notre Dame, IN",Stanford Cardinal,"San Francisco Bay Area, CA",Connecticut Huskies,"Hartford, CT"
925,2012,pro,NHL,Los Angeles Kings,"Greater Los Angeles, CA",New Jersey Devils,New York Metro Area,Phoenix Coyotes,"Metro Phoenix, AZ",New York Rangers,New York Metro Area
926,2012,college,Baseball (M),Arizona Wildcats,"Tucson, AZ",South Carolina Gamecocks,"Columbia, SC",Florida State Seminoles,"Tallahassee, FL",Arkansas Razorbacks,"Northwest Arkansas, AR"
927,2012,pro,MLB,San Francisco Giants,"San Francisco Bay Area, CA",Detroit Tigers,"Metro Detroit, MI",New York Yankees,New York Metro Area,St. Louis Cardinals,"St. Louis, MO"
928,2012,pro,CFL,Toronto Argonauts,"Toronto, ON",Calgary Stampeders,"Calgary, AB",BC Lions,"Vancouver, BC",Montreal Alouettes,"Montreal, QC"
929,2012,pro,MLS,Los Angeles Galaxy,"Greater Los Angeles, CA",Houston Dynamo,"Houston, TX",Seattle Sounders FC,"Seattle,WA",D.C. United,"Washington, DC Metro Area"
930,2012,college,Soccer (W),North Carolina Tar Heels,"Greater Raleigh, NC",Penn State Nittany Lions,"State College, PA",Florida State Seminoles,"Tallahassee, FL",Stanford Cardinal,"San Francisco Bay Area, CA"
931,2012,college,Volleyball (W),Texas Longhorns,"Austin, TX",Oregon Ducks,"Eugene, OR",Michigan Wolverines,"Ann Arbor, MI",Penn State Nittany Lions,"State College, PA"
932,2013,college,Football (M),North Dakota State Bison,"Fargo, ND",Sam Houston State Bearkats,"Huntsville, TX",,,,
933,2013,college,Football (M),Alabama Crimson Tide,"Tuscaloosa, AL",,,,,,
934,2013,pro,NFL,Baltimore Ravens,"Baltimore, MD",San Francisco 49ers,"San Francisco Bay Area, CA",New England Patriots,"Greater Boston, MA",Atlanta Falcons,"Atlanta, GA"
936,2013,pro,NBA,Miami Heat,"Greater Miami Area, FL",San Antonio Spurs,"San Antonio, TX",Indiana Pacers,"Indianapolis Metro Area, IN",Memphis Grizzlies,"Memphis, TN"
937,2013,college,Basketball (W),Connecticut Huskies,"Hartford, CT",Louisville Cardinals,"Louisville, KY",California Golden Bears,"San Francisco Bay Area, CA",Notre Dame Fighting Irish,"Notre Dame, IN"
938,2013,pro,NHL,Chicago Blackhawks,"Chicago, IL",Boston Bruins,"Greater Boston, MA",Los Angeles Kings,"Greater Los Angeles, CA",Pittsburgh Penguins,"Pittsburgh, PA"
939,2013,college,Baseball (M),UCLA Bruins,"Greater Los Angeles, CA",Mississippi State Bulldogs,"Starkville, MS",North Carolina Tar Heels,"Greater Raleigh, NC",Oregon State Beavers,"Corvallis, OR"
940,2013,pro,MLB,Boston Red Sox,"Greater Boston, MA",St. Louis Cardinals,"St. Louis, MO",Detroit Tigers,"Metro Detroit, MI",Los Angeles Dodgers,"Greater Los Angeles, CA"
941,2013,pro,CFL,Saskatchewan Roughriders,"Regina, SK",St. Louis Cardinals,"St. Louis, MO",Detroit Tigers,"Metro Detroit, MI",Los Angeles Dodgers,"Greater Los Angeles, CA"
942,2013,college,Volleyball (W),Penn State Nittany Lions,"State College, PA",Wisconsin Badgers,"Madison, WI",Texas Longhorns,"Austin, TX",Washington Huskies,"Seattle,WA"
943,2013,pro,MLS,Sporting Kansas City,"Kansas City, MO",Real Salt Lake,"Salt Lake City, UT",Houston Dynamo,"Houston, TX",Portland Timbers,"Portland Metro Area, OR"
944,2013,college,Soccer (W),UCLA Bruins,"Greater Los Angeles, CA",Florida State Seminoles,"Tallahassee, FL",Virginia Cavaliers,"Charlottesville, VA",Virginia Tech Hokies,"Blacksburg, VA"
945,2014,college,Football (M),North Dakota State Bison,"Fargo, ND",Florida State Seminoles,"Tallahassee, FL",Virginia Cavaliers,"Charlottesville, VA",Virginia Tech Hokies,"Blacksburg, VA"
946,2014,college,Football (M),Florida State Seminoles,"Tallahassee, FL",Towson Tigers,"Baltimore, MD",,,,
947,2014,pro,NFL,Seattle Seahawks,"Seattle,WA",Denver Broncos,"Denver, CO",New England Patriots,"Greater Boston, MA",San Francisco 49ers,"San Francisco Bay Area, CA"
948,2014,college,Basketball (M),Connecticut Huskies,"Hartford, CT",Kentucky Wildcats,"Lexington-Fayette, KY",Florida Gators,"Gainesville, FL",Wisconsin Badgers,"Madison, WI"
949,2014,pro,NBA,San Antonio Spurs,"San Antonio, TX",Miami Heat,"Greater Miami Area, FL",Indiana Pacers,"Indianapolis Metro Area, IN",Oklahoma City Thunder,"Oklahoma City, OK"
950,2014,college,Basketball (W),Connecticut Huskies,"Hartford, CT",Notre Dame Fighting Irish,"Notre Dame, IN",Stanford Cardinal,"San Francisco Bay Area, CA",Maryland Terrapins,"Washington, DC Metro Area"
951,2014,college,Baseball (M),Vanderbilt Commodores,"Nashville, TN",Virginia Cavaliers,"Charlottesville, VA",Texas Longhorns,"Austin, TX",Ole Miss Rebels,"Oxford, MS"
952,2014,pro,NHL,Los Angeles Kings,"Greater Los Angeles, CA",New York Rangers,New York Metro Area,Montreal Canadiens,"Montreal, QC",Chicago Blackhawks,"Chicago, IL"
953,2014,pro,MLB,San Francisco Giants,"San Francisco Bay Area, CA",Kansas City Royals,"Kansas City, MO",Baltimore Orioles,"Baltimore, MD",St. Louis Cardinals,"St. Louis, MO"
954,2014,pro,CFL,Calgary Stampeders,"Calgary, AB",Hamilton Tiger-Cats,"Hamilton, ON",Edmonton Eskimos,"Edmonton, AB",Montreal Alouettes,"Montreal, QC"
955,2014,pro,MLS,Los Angeles Galaxy,"Greater Los Angeles, CA",New England Revolution,"Greater Boston, MA",Seattle Sounders FC,"Seattle,WA",New York Red Bulls,New York Metro Area
956,2014,college,Soccer (W),Florida State Seminoles,"Tallahassee, FL",Virginia Cavaliers,"Charlottesville, VA",Stanford Cardinal,"San Francisco Bay Area, CA",Texas A&M Aggies,"College Station, TX"
957,2014,college,Volleyball (W),Penn State Nittany Lions,"State College, PA",Brigham Young Cougars,"Provo, UT",Stanford Cardinal,"San Francisco Bay Area, CA",Texas Longhorns,"Austin, TX"
958,2015,college,Football (M),North Dakota State Bison,"Fargo, ND",Illinois State Redbirds,"Normal, IL",,,,
959,2015,college,Football (M),Ohio State Buckeyes,"Columbus, OH",Oregon Ducks,"Eugene, OR",,,,
960,2015,pro,NFL,New England Patriots,"Greater Boston, MA",Seattle Seahawks,"Seattle,WA",Indianapolis Colts,"Indianapolis Metro Area, IN",Green Bay Packers,"Green Bay, WI"
961,2015,college,Basketball (M),Duke Blue Devils,"Greater Raleigh, NC",Wisconsin Badgers,"Madison, WI",Michigan State Spartans,"East Lansing, MI",Kentucky Wildcats,"Lexington-Fayette, KY"
962,2015,pro,NBA,Golden State Warriors,"San Francisco Bay Area, CA",Cleveland Cavaliers,"Cleveland, OH",Atlanta Hawks,"Atlanta, GA",Houston Rockets,"Houston, TX"
963,2015,college,Basketball (W),Connecticut Huskies,"Hartford, CT",Notre Dame Fighting Irish,"Notre Dame, IN",South Carolina Gamecocks,"Columbia, SC",Maryland Terrapins,"Washington, DC Metro Area"
964,2015,pro,NHL,Chicago Blackhawks,"Chicago, IL",Tampa Bay Lightning,"Tampa Bay Area, FL",New York Rangers,New York Metro Area,Anaheim Ducks,"Greater Los Angeles, CA"
965,2015,college,Baseball (M),Virginia Cavaliers,"Charlottesville, VA",Vanderbilt Commodores,"Nashville, TN",Florida Gators,"Gainesville, FL",Texas Christian Horned Frogs,"Dallas-Fort Worth, TX"
966,2015,pro,MLB,Kansas City Royals,"Kansas City, MO",New York Mets,New York Metro Area,Toronto Blue Jays,"Toronto, ON",Chicago Cubs,"Chicago, IL"
967,2015,pro,CFL,Edmonton Eskimos,"Edmonton, AB",Ottawa Redblacks,"Ottawa, ON",Calgary Stampeders,"Calgary, AB",Hamilton Tiger-Cats,"Hamilton, ON"
968,2015,pro,MLS,Portland Timbers,"Portland Metro Area, OR",Columbus Crew,"Columbus, OH",FC Dallas,"Dallas-Fort Worth, TX",New York Red Bulls,New York Metro Area
969,2015,college,Soccer (W),Penn State Nittany Lions,"State College, PA",Duke Blue Devils,"Greater Raleigh, NC",Florida State Seminoles,"Tallahassee, FL",Rutgers Scarlet Knights,"New Brunswick, NJ"
970,2015,college,Volleyball (W),Nebraska Cornhuskers,"Lincoln, NE",Texas Longhorns,"Austin, TX",Kansas Jayhawks,"Lawrence, KS",Minnesota Golden Gophers,"Twin Cities, MN"
971,2016,college,Football (M),North Dakota State Bison,"Fargo, ND",Jacksonville State Gamecocks,"Calhoun County, AL",,,,
972,2016,college,Football (M),Alabama Crimson Tide,"Tuscaloosa, AL",Clemson Tigers,"Greenville, SC",,,,
973,2016,pro,NFL,Denver Broncos,"Denver, CO",Carolina Panthers,"Charlotte Metro Area, NC",New England Patriots,"Greater Boston, MA",Arizona Cardinals,"Metro Phoenix, AZ"
974,2016,college,Basketball (M),Villanova Wildcats,"Greater Philadelphia, PA",North Carolina Tar Heels,"Greater Raleigh, NC",Oklahoma Sooners,"Oklahoma City, OK",Syracuse Orange,"Syracuse, NY"
975,2016,college,Basketball (W),Connecticut Huskies,"Hartford, CT",Syracuse Orange,"Syracuse, NY",Oregon State Beavers,"Corvallis, OR",Washington Huskies,"Seattle,WA"
976,2016,pro,NBA,Cleveland Cavaliers,"Cleveland, OH",Golden State Warriors,"San Francisco Bay Area, CA",Toronto Raptors,"Toronto, ON",Oklahoma City Thunder,"Oklahoma City, OK"
977,2016,pro,NHL,Pittsburgh Penguins,"Pittsburgh, PA",San Jose Sharks,"San Jose-Santa Clara, CA",St. Louis Blues,"St. Louis, MO",Tampa Bay Lightning,"Tampa Bay Area, FL"
978,2016,college,Baseball (M),Coastal Carolina Chanticleers,"Myrtle Beach Metro Area, SC",Arizona Wildcats,"Tucson, AZ",Oklahoma State Cowboys,"Stillwater, OK",Texas Christian Horned Frogs,"Dallas-Fort Worth, TX"
979,2016,pro,MLB,Chicago Cubs,"Chicago, IL",Cleveland Indians,"Cleveland, OH",Toronto Blue Jays,"Toronto, ON",Los Angeles Dodgers,"Greater Los Angeles, CA"
980,2016,pro,CFL,Ottawa Redblacks,"Ottawa, ON",Calgary Stampeders,"Calgary, AB",BC Lions,"Vancouver, BC",Edmonton Eskimos,"Edmonton, AB"
981,2016,college,Volleyball (W),Stanford Cardinal,"San Francisco Bay Area, CA",Texas Longhorns,"Austin, TX",Minnesota Golden Gophers,"Twin Cities, MN",Nebraska Cornhuskers,"Lincoln, NE"
982,2016,pro,MLS,Seattle Sounders FC,"Seattle,WA",Toronto FC,"Toronto, ON",Montreal Impact,"Montreal, QC",Colorado Rapids,"Denver, CO"
983,2016,college,Soccer (W),South Carolina Gamecocks,"Columbia, SC",West Virginia Mountaineers,"Morgantown, WV",Georgetown Hoyas,"Washington, DC Metro Area",North Carolina Tar Heels,"Greater Raleigh, NC"
984,2017,college,Football (M),Clemson Tigers,"Greenville, SC",Alabama Crimson Tide,"Tuscaloosa, AL",,,,
985,2017,college,Football (M),James Madison Dukes,"Harrisonburg, VA",Youngstown State Penguins,"Youngstown, OH",,,,
986,2017,pro,NFL,New England Patriots,"Greater Boston, MA",Atlanta Falcons,"Atlanta, GA",Pittsburgh Steelers,"Pittsburgh, PA",Green Bay Packers,"Green Bay, WI"
987,2017,college,Basketball (M),North Carolina Tar Heels,"Greater Raleigh, NC",Gonzaga Bulldogs,"Spokane, WA",Oregon Ducks,"Eugene, OR",South Carolina Gamecocks,"Columbia, SC"
988,2017,college,Basketball (W),South Carolina Gamecocks,"Columbia, SC",Mississippi State Bulldogs,"Starkville, MS",Connecticut Huskies,"Hartford, CT",Stanford Cardinal,"San Francisco Bay Area, CA"
989,2017,pro,NBA,Golden State Warriors,"San Francisco Bay Area, CA",Cleveland Cavaliers,"Cleveland, OH",San Antonio Spurs,"San Antonio, TX",Boston Celtics,"Greater Boston, MA"
990,2017,pro,NHL,Pittsburgh Penguins,"Pittsburgh, PA",Nashville Predators,"Nashville, TN",Anaheim Ducks,"Greater Los Angeles, CA",Ottawa Senators,"Ottawa, ON"
991,2017,college,Baseball (M),Florida Gators,"Gainesville, FL",LSU Fighting Tigers,"Baton Rouge, LA",Oregon State Beavers,"Corvallis, OR",Texas Christian Horned Frogs,"Dallas-Fort Worth, TX"
992,2017,pro,MLB,Houston Astros,"Houston, TX",Los Angeles Dodgers,"Greater Los Angeles, CA",New York Yankees,New York Metro Area,Chicago Cubs,"Chicago, IL"
993,2017,pro,CFL,Toronto Argonauts,"Toronto, ON",Calgary Stampeders,"Calgary, AB",Edmonton Eskimos,"Edmonton, AB",Saskatchewan Roughriders,"Regina, SK"
994,2017,college,Volleyball (W),Nebraska Cornhuskers,"Lincoln, NE",Florida Gators,"Gainesville, FL",Penn State Nittany Lions,"State College, PA",Stanford Cardinal,"San Francisco Bay Area, CA"
995,2017,pro,MLS,Toronto FC,"Toronto, ON",Seattle Sounders FC,"Seattle,WA",Columbus Crew,"Columbus, OH",Houston Dynamo,"Houston, TX"
996,2017,college,Soccer (W),Stanford Cardinal,"San Francisco Bay Area, CA",UCLA Bruins,"Greater Los Angeles, CA",South Carolina Gamecocks,"Columbia, SC",Duke Blue Devils,"Greater Raleigh, NC"
997,2018,college,Football (M),North Dakota State Bison,"Fargo, ND",James Madison Dukes,"Harrisonburg, VA",,,,
998,2018,college,Football (M),Alabama Crimson Tide,"Tuscaloosa, AL",Georgia Bulldogs,"Athens, GA",,,,
999,2018,pro,NFL,Philadelphia Eagles,"Greater Philadelphia, PA",New England Patriots,"Greater Boston, MA",Jacksonville Jaguars,"Jacksonville, FL",Minnesota Vikings,"Twin Cities, MN"
1000,2018,college,Basketball (M),Loyola Ramblers,"Chicago, IL",Kansas State Wildcats,"Manhattan, KS",Kentucky Wildcats,"Lexington-Fayette, KY",Nevada Wolf Pack,"Reno, NV"
1001,2018,college,Basketball (W),Notre Dame Fighting Irish,"Notre Dame, IN",Mississippi State Bulldogs,"Starkville, MS",Louisville Cardinals,"Louisville, KY",Connecticut Huskies,"Hartford, CT"
1002,2018,pro,NHL,Washington Capitals,"Washington, DC Metro Area",Vegas Golden Knights,"Las Vegas, NV",Winnipeg Jets,"Winnipeg, MB",Tampa Bay Lightning,"Tampa Bay Area, FL"
1003,2018,pro,NBA,Golden State Warriors,"San Francisco Bay Area, CA",Cleveland Cavaliers,"Cleveland, OH",Boston Celtics,"Greater Boston, MA",Houston Rockets,"Houston, TX"
1004,2018,college,Baseball (M),Oregon State Beavers,"Corvallis, OR",Arkansas Razorbacks,"Northwest Arkansas, AR",Mississippi State Bulldogs,"Starkville, MS",Florida Gators,"Gainesville, FL"
1005,2018,pro,MLB,Boston Red Sox,"Greater Boston, MA",Los Angeles Dodgers,"Greater Los Angeles, CA",Houston Astros,"Houston, TX",Milwaukee Brewers,"Milwaukee, WI"
